config_id,user_id,collection_location,created_date,days_since_signup,provider,model,connection_name,is_primary_config,input_price_per_1m_usd,output_price_per_1m_usd,monthly_budget_usd,key_auto_detected_flag,custom_base_url_flag,validation_attempts,validation_success_flag,connection_latency_ms,config_status,key_rotations,last_rotation_date,first_session_date,days_to_first_session,total_sessions,total_interactions,total_input_tokens,total_output_tokens,total_llm_cost_usd,avg_efficiency_ratio,avg_waste_index,avg_cri,max_cri,adversarial_tests_run,last_used_date,config_age_days
cfg_00011,usr_00012,Outside Campus,2026-03-30,25,Anthropic,claude-sonnet-5,Anthropic Backup-8,0,3.0,15.0,250,1,0,1,1,136,dormant,0,,2026-03-05,,1,27,83421,21393,0.5712,0.5289,0.6084,0.2405,0.24045401977438707,1,2026-03-27,174
cfg_00012,usr_00013,Outside Campus,2026-03-04,1,Anthropic,claude-opus-5,Anthropic Primary-9,1,3.0,15.0,1000,1,0,1,1,330,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,200
cfg_00013,usr_00014,Outside Campus,2026-03-05,0,Google AI (Gemini),gemini-3-flash,Google Primary-7,1,1.0,6.0,100,1,0,1,1,146,dormant,0,,2026-03-05,0,12,261,529009,350762,2.6334,0.8272,0.396,0.1706,0.22624421637923742,1,2026-04-21,199
cfg_00014,usr_00016,Outside Campus,2026-03-06,1,Google AI (Gemini),gemini-3-flash,Google Primary-3,1,1.0,6.0,100,1,0,1,1,280,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,198
cfg_00015,usr_00017,Outside Campus,2026-03-04,0,DeepSeek,deepseek-v4,DeepSeek Primary-5,1,0.3,1.2,50,1,0,1,1,119,dormant,0,,2026-03-04,0,30,591,1046912,631763,1.0721,0.7564,0.4279,0.1857,0.2741806489343629,0,2026-05-23,200
cfg_00016,usr_00018,Outside Campus,2026-03-06,1,Anthropic,claude-sonnet-5,Anthropic Primary-4,1,3.0,15.0,1000,1,0,1,1,162,dormant,0,,2026-03-08,2,48,1048,3755783,1183512,29.0199,0.7805,0.4138,0.2085,0.9612549382518418,0,2026-08-16,198
cfg_00017,usr_00020,Outside Campus,2026-03-05,0,Groq,qwen3-32b,Groq Primary-7,1,0.5,0.9,250,1,0,1,1,138,active,0,,2026-03-05,0,48,1094,2761812,1367021,2.6111,0.7753,0.4372,0.2316,0.8423025127951005,2,2026-08-26,199
cfg_00018,usr_00020,Outside Campus,2026-03-16,11,Groq,llama-4-maverick,Groq Backup-6,0,0.5,0.9,100,1,0,1,1,110,active,0,,2026-03-05,,6,160,686180,258907,0.5761,0.7388,0.4416,0.3094,0.8863096422382892,1,2026-04-24,188
cfg_00019,usr_00021,Outside Campus,2026-03-08,0,OpenAI,gpt-5,OpenAI Primary-1,1,1.25,10.0,50,1,1,1,1,163,active,0,,2026-03-09,1,56,1136,3298410,1484044,18.9637,0.8011,0.4063,0.1912,0.6105466879415286,1,2026-09-16,196
cfg_00020,usr_00022,Outside Campus,2026-03-08,3,Anthropic,claude-opus-5,Anthropic Primary-2,1,3.0,15.0,1000,0,0,1,1,69,dormant,0,,2026-03-09,1,19,475,1283540,1240577,22.4594,0.8054,0.4086,0.2421,0.8721439868116917,4,2026-05-04,196
cfg_00021,usr_00023,Outside Campus,2026-03-07,0,OpenAI,gpt-5-mini,OpenAI Primary-2,1,1.25,10.0,250,0,0,1,1,101,dormant,0,,2026-03-08,1,9,162,486657,132938,1.9378,0.7412,0.4264,0.1775,0.24599461286153332,1,2026-04-05,197
cfg_00022,usr_00023,Outside Campus,2026-03-17,10,Anthropic,claude-sonnet-5,Anthropic Backup-2,0,3.0,15.0,100,1,0,1,1,136,dormant,0,,2026-03-08,,4,134,427647,125265,3.1619,0.7044,0.4629,0.2108,0.31256699107339847,0,2026-04-13,187
cfg_00023,usr_00024,Outside Campus,2026-03-07,1,OpenRouter,qwen3-235b,OpenRouter Primary-9,1,0.6,2.4,1000,1,0,1,1,123,dormant,0,,2026-03-10,3,40,912,2398555,1147432,4.1927,0.7265,0.4727,0.2138,0.9306986482264412,12,2026-08-05,197
cfg_00024,usr_00025,Outside Campus,2026-03-09,0,Anthropic,claude-opus-5,Anthropic Primary-5,1,3.0,15.0,25,0,0,1,1,196,dormant,1,,2026-03-09,0,9,157,300394,256345,4.7465,0.8248,0.397,0.1796,0.25783752270046373,1,2026-03-30,195
cfg_00025,usr_00026,Outside Campus,2026-03-09,1,Anthropic,claude-opus-5,Anthropic Primary-2,1,3.0,15.0,25,0,0,1,1,89,dormant,0,,2026-03-10,1,7,104,208497,59622,1.5198,0.9145,0.2943,0.2074,0.5435491540510459,0,2026-04-06,195
cfg_00026,usr_00027,DSU Campus,2026-03-08,2,Anthropic,claude-opus-5,Anthropic Primary-5,1,3.0,15.0,50,1,0,1,1,150,dormant,0,,2026-03-08,0,30,577,1568747,686022,14.9966,0.8338,0.3704,0.1636,0.2662315471137461,1,2026-05-30,196
cfg_00027,usr_00028,Outside Campus,2026-03-07,1,DeepSeek,deepseek-v4,DeepSeek Primary-7,1,0.3,1.2,50,1,0,1,1,267,active,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,197
cfg_00028,usr_00029,Outside Campus,2026-03-08,1,Groq,qwen3-32b,Groq Primary-2,1,0.5,0.9,25,1,0,1,1,128,dormant,1,,2026-03-09,1,12,274,745240,323576,0.6637,0.7193,0.4986,0.2028,0.27948310231977413,1,2026-03-28,196
cfg_00029,usr_00031,Outside Campus,2026-03-11,4,OpenAI,gpt-5,OpenAI Primary-2,1,1.25,10.0,50,1,0,1,1,108,dormant,1,,2026-03-11,0,20,429,1299240,389359,5.5177,0.7955,0.3991,0.242,0.9304783769336844,1,2026-04-30,193
cfg_00030,usr_00032,DSU Campus,2026-03-09,1,Groq,qwen3-32b,Groq Primary-1,1,0.5,0.9,1000,1,0,1,1,92,active,0,,2026-03-10,1,39,849,2036735,1119369,2.0256,0.7608,0.4392,0.1899,0.29302316965546715,2,2026-08-27,195
cfg_00031,usr_00032,DSU Campus,2026-04-07,30,OpenRouter,qwen3-235b,OpenRouter Backup-9,0,0.6,2.4,1000,1,0,1,1,60,active,0,,2026-03-10,,5,116,217172,224155,0.6683,0.6939,0.4998,0.2014,0.2922723364147215,1,2026-08-11,166
cfg_00032,usr_00033,Outside Campus,2026-03-07,0,OpenAI,gpt-4o,OpenAI Primary-6,1,1.25,10.0,1000,1,0,1,1,133,active,0,,2026-03-08,1,38,821,2098666,887424,11.4979,0.802,0.4135,0.2048,0.7641491318331111,0,2026-09-09,197
cfg_00033,usr_00033,Outside Campus,2026-04-03,27,xAI (Grok),grok-4,xAI Backup-5,0,2.5,12.0,250,1,0,1,1,124,active,1,,2026-03-08,,8,177,552300,280147,4.7426,0.7519,0.4384,0.1822,0.2455520282106681,1,2026-08-19,170
cfg_00034,usr_00034,Outside Campus,2026-03-09,1,Anthropic,claude-opus-5,Anthropic Primary-2,1,3.0,15.0,250,1,0,1,1,268,dormant,0,,2026-03-10,1,35,727,1992266,811738,18.1527,0.8574,0.3439,0.2056,0.8190521191602358,1,2026-07-08,195
cfg_00035,usr_00034,Outside Campus,2026-03-16,8,OpenAI,gpt-5-mini,OpenAI Backup-4,0,1.25,10.0,1000,0,0,2,1,152,dormant,0,,2026-03-10,,9,221,368661,258193,3.0426,0.734,0.4381,0.2451,0.7981352130244317,0,2026-07-03,188
cfg_00036,usr_00035,Outside Campus,2026-03-14,1,OpenAI,gpt-4o,OpenAI Primary-6,1,1.25,10.0,500,0,0,1,1,102,active,0,,2026-03-16,2,60,1221,3933008,1517194,20.0884,0.778,0.4342,0.1942,0.735800436478256,8,2026-09-08,190
cfg_00037,usr_00037,Outside Campus,2026-03-09,0,Mistral AI,codestral-2,Mistral Primary-6,1,2.0,6.0,100,1,0,1,1,148,dormant,0,,2026-03-09,0,18,397,934886,364140,4.0548,0.7455,0.4488,0.2533,0.9567675358068697,3,2026-06-17,195
cfg_00038,usr_00037,Outside Campus,2026-04-13,35,Anthropic,claude-sonnet-5,Anthropic Backup-1,0,3.0,15.0,50,1,0,1,1,65,dormant,0,,2026-03-09,,5,171,391267,159551,3.5671,0.8528,0.3535,0.1757,0.25645027703380474,1,2026-06-01,160
cfg_00039,usr_00038,Outside Campus,2026-03-09,0,Google AI (Gemini),gemini-3-pro,Google Primary-3,1,1.0,6.0,1000,1,1,1,1,115,dormant,0,,2026-03-12,3,1,15,19323,15440,0.112,0.5502,0.634,0.2254,0.22539799121795007,0,2026-03-15,195
cfg_00040,usr_00039,DSU Campus,2026-03-09,0,Anthropic,claude-opus-5,Anthropic Primary-5,1,3.0,15.0,25,1,0,1,1,131,dormant,0,,2026-03-12,3,15,284,874210,393452,8.5245,0.819,0.3651,0.2117,0.9261515106165485,1,2026-04-18,195
cfg_00041,usr_00040,Outside Campus,2026-03-09,0,OpenAI,gpt-4o,OpenAI Primary-7,1,1.25,10.0,25,1,0,1,1,161,dormant,0,,2026-03-09,0,13,233,671578,284613,3.6855,0.8131,0.3639,0.2009,0.523567388909087,3,2026-04-29,195
cfg_00042,usr_00042,Outside Campus,2026-03-10,0,OpenAI,gpt-5-mini,OpenAI Primary-4,1,1.25,10.0,1000,1,0,2,1,70,dormant,0,,2026-03-10,0,12,270,921760,341144,4.5636,0.7241,0.4438,0.1832,0.26383393623651263,0,2026-05-13,194
cfg_00043,usr_00043,DSU Campus,2026-03-18,0,Groq,llama-4-maverick,Groq Primary-2,1,0.5,0.9,25,1,0,1,1,60,active,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,186
cfg_00044,usr_00044,Outside Campus,2026-03-16,2,Groq,llama-4-maverick,Groq Primary-5,1,0.5,0.9,100,0,0,1,1,71,dormant,0,,2026-03-16,0,3,50,132187,78886,0.1371,0.6677,0.5281,0.2427,0.2601133402943972,1,2026-03-18,188
cfg_00045,usr_00046,DSU Campus,2026-03-12,0,Google AI (Gemini),gemini-3-flash,Google Primary-5,1,1.0,6.0,100,1,0,1,1,119,dormant,0,,2026-03-12,0,18,313,762114,363902,2.9454,0.8332,0.3708,0.2423,0.8408257982066469,0,2026-05-11,192
cfg_00046,usr_00047,DSU Campus,2026-03-13,2,Cohere,command-r-plus-2,Cohere Primary-7,1,2.5,10.0,250,0,0,1,1,148,active,0,,2026-03-14,1,34,707,1488310,1009979,13.8206,0.7431,0.4362,0.1822,0.3881092883252251,6,2026-09-16,191
cfg_00047,usr_00048,Outside Campus,2026-03-11,0,xAI (Grok),grok-4,xAI Primary-4,1,2.5,12.0,25,1,0,1,1,125,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,193
cfg_00048,usr_00049,Outside Campus,2026-03-15,3,DeepSeek,deepseek-v4,DeepSeek Primary-4,1,0.3,1.2,50,1,0,1,1,82,dormant,0,,2026-03-15,0,1,33,24662,43108,0.0591,0.7559,0.382,0.1665,0.1665334696701814,0,2026-03-22,189
cfg_00049,usr_00051,Outside Campus,2026-03-15,3,Anthropic,claude-sonnet-5,Anthropic Primary-8,1,3.0,15.0,25,1,0,1,1,129,dormant,0,,2026-03-17,2,13,228,490448,306912,6.075,0.7335,0.4509,0.1929,0.272576660728118,0,2026-05-16,189
cfg_00050,usr_00053,Outside Campus,2026-03-14,0,OpenAI,gpt-5-mini,OpenAI Primary-6,1,1.25,10.0,100,1,0,1,1,148,dormant,0,,2026-03-15,1,10,221,666043,262947,3.462,0.7562,0.4361,0.1728,0.27510094438486354,1,2026-04-07,190
cfg_00051,usr_00053,Outside Campus,2026-03-28,14,Mistral AI,mistral-large-3,Mistral Backup-5,0,2.0,6.0,25,0,0,1,1,73,dormant,0,,2026-03-15,,4,94,256541,118795,1.2259,0.6516,0.5339,0.2045,0.23617290724578363,0,2026-04-09,176
cfg_00052,usr_00055,Outside Campus,2026-03-14,0,OpenAI,gpt-5,OpenAI Primary-8,1,1.25,10.0,100,1,0,1,1,186,dormant,0,,2026-03-15,1,50,1086,2951926,1061361,14.304,0.7658,0.4375,0.1921,0.5821132780283732,6,2026-08-03,190
cfg_00053,usr_00056,Outside Campus,2026-03-19,1,Groq,llama-4-maverick,Groq Primary-3,1,0.5,0.9,100,0,0,1,1,155,dormant,0,,2026-03-19,0,5,72,295087,119989,0.2555,0.7222,0.4859,0.3355,0.877382506402275,0,2026-04-03,185
cfg_00054,usr_00059,Outside Campus,2026-03-14,0,OpenAI,gpt-5,OpenAI Primary-4,1,1.25,10.0,100,1,0,1,1,334,dormant,0,,2026-03-14,0,6,159,1019170,239605,3.6701,0.8581,0.3944,0.1883,0.32053808106653026,0,2026-03-24,190
cfg_00055,usr_00060,DSU Campus,2026-03-14,0,Anthropic,claude-sonnet-5,Anthropic Primary-2,1,3.0,15.0,500,1,0,1,1,100,dormant,0,,2026-03-14,0,15,301,797053,329416,7.3323,0.7706,0.4689,0.21,0.34234695566431705,1,2026-05-18,190
cfg_00056,usr_00061,Outside Campus,2026-03-16,0,Mistral AI,mistral-large-3,Mistral Primary-3,1,2.0,6.0,250,1,0,1,1,288,dormant,0,,2026-03-17,1,10,249,990561,269649,3.599,0.7295,0.4847,0.1903,0.24603850964068358,0,2026-04-19,188
cfg_00057,usr_00061,Outside Campus,2026-03-28,12,DeepSeek,deepseek-v4,DeepSeek Backup-3,0,0.3,1.2,25,0,0,1,1,97,dormant,0,,2026-03-17,,2,24,36649,22232,0.0377,0.5174,0.6511,0.2471,0.2483145997735038,0,2026-04-18,176
cfg_00058,usr_00062,DSU Campus,2026-03-18,3,xAI (Grok),grok-4-mini,xAI Primary-5,1,2.5,12.0,1000,1,0,1,1,246,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,186
cfg_00059,usr_00063,DSU Campus,2026-03-18,0,xAI (Grok),grok-4-mini,xAI Primary-8,1,2.5,12.0,1000,1,0,1,1,112,dormant,1,,2026-03-18,0,43,1075,3175833,1512021,26.0843,0.7567,0.4321,0.23,0.765052336651999,3,2026-08-18,186
cfg_00060,usr_00064,Outside Campus,2026-03-15,0,OpenAI,gpt-5,OpenAI Primary-4,1,1.25,10.0,50,1,0,1,1,140,dormant,0,,2026-03-16,1,8,213,477577,341684,4.0139,0.8176,0.3554,0.16,0.20332485638883616,1,2026-03-29,189
cfg_00061,usr_00067,Outside Campus,2026-03-22,1,OpenAI,gpt-4o,OpenAI Primary-3,1,1.25,10.0,100,0,0,1,1,166,active,0,,2026-03-22,0,46,1094,2870746,1224824,15.8367,0.7808,0.4126,0.1996,0.8839200275109239,2,2026-09-16,182
cfg_00062,usr_00067,Outside Campus,2026-04-17,27,OpenRouter,qwen3-235b,OpenRouter Backup-5,0,0.6,2.4,1000,1,0,1,1,150,active,2,,2026-03-22,,8,199,525929,270499,0.9647,0.7347,0.4352,0.1733,0.22657043660466003,0,2026-07-02,156
cfg_00063,usr_00068,Outside Campus,2026-03-16,0,OpenAI,gpt-4o,OpenAI Primary-5,1,1.25,10.0,250,1,0,1,1,219,dormant,0,,2026-03-16,0,7,233,495458,292390,3.5432,0.7237,0.4794,0.203,0.325494894707977,0,2026-04-01,188
cfg_00064,usr_00069,Outside Campus,2026-03-17,0,Google AI (Gemini),gemini-3-pro,Google Primary-3,1,1.0,6.0,250,1,0,1,1,273,active,0,,2026-03-17,0,26,458,1409378,846031,6.4856,0.7049,0.5219,0.2098,0.32950551742968315,2,2026-09-11,187
cfg_00065,usr_00070,Outside Campus,2026-03-18,0,Anthropic,claude-opus-5,Anthropic Primary-1,1,3.0,15.0,1000,1,0,1,1,132,active,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,186
cfg_00066,usr_00070,Outside Campus,2026-04-09,22,Anthropic,claude-sonnet-5,Anthropic Backup-4,0,3.0,15.0,100,1,0,1,1,86,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,164
cfg_00067,usr_00071,Outside Campus,2026-03-20,2,Groq,llama-4-maverick,Groq Primary-9,1,0.5,0.9,50,1,0,1,1,165,dormant,0,,2026-03-20,0,35,716,1706216,1042676,1.7915,0.7739,0.4372,0.2288,0.9029493923370948,1,2026-07-31,184
cfg_00068,usr_00072,Outside Campus,2026-03-25,0,Groq,qwen3-32b,Groq Primary-7,1,0.5,0.9,100,0,0,1,1,102,active,0,,2026-03-26,1,25,546,1165120,682840,1.197,0.7316,0.4607,0.2307,0.5476986210304845,1,2026-09-20,179
cfg_00069,usr_00073,Outside Campus,2026-03-17,0,Together AI,llama-4-scout,Together Primary-5,1,0.8,2.0,50,0,0,1,1,143,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,187
cfg_00070,usr_00074,DSU Campus,2026-03-18,1,Mistral AI,codestral-2,Mistral Primary-7,1,2.0,6.0,500,1,0,1,1,211,dormant,0,,2026-03-18,0,20,466,1411672,506970,5.8654,0.7418,0.467,0.1947,0.29955848158181536,1,2026-06-18,186
cfg_00071,usr_00075,DSU Campus,2026-03-18,1,DeepSeek,deepseek-v4,DeepSeek Primary-8,1,0.3,1.2,1000,1,0,2,1,173,dormant,0,,2026-03-18,0,9,194,802223,157098,0.4291,0.7673,0.3877,0.1747,0.27693499499312896,3,2026-05-22,186
cfg_00072,usr_00076,Outside Campus,2026-03-20,2,Anthropic,claude-sonnet-5,Anthropic Primary-5,1,3.0,15.0,50,0,0,1,1,155,dormant,0,,2026-03-20,0,7,194,511196,229414,4.9748,0.87,0.2911,0.1308,0.16293055304041926,2,2026-04-03,184
cfg_00073,usr_00076,Outside Campus,2026-04-02,15,DeepSeek,deepseek-r2,DeepSeek Backup-5,0,0.3,1.2,1000,1,0,1,1,146,dormant,0,,2026-03-20,,3,80,275133,35254,0.1249,0.8094,0.3928,0.1624,0.21307428688525623,0,2026-04-09,171
cfg_00074,usr_00078,Outside Campus,2026-03-22,4,Groq,llama-4-maverick,Groq Primary-4,1,0.5,0.9,1000,1,0,1,1,119,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,182
cfg_00075,usr_00079,DSU Campus,2026-03-18,0,xAI (Grok),grok-4,xAI Primary-5,1,2.5,12.0,1000,1,1,1,1,227,dormant,0,,2026-03-19,1,9,185,280434,212529,3.2514,0.7832,0.4452,0.191,0.24528298784270136,0,2026-04-11,186
cfg_00076,usr_00081,DSU Campus,2026-03-19,0,OpenRouter,qwen3-235b,OpenRouter Primary-4,1,0.6,2.4,1000,1,1,1,1,90,dormant,0,,2026-03-22,3,3,48,124299,30515,0.1478,0.8846,0.3114,0.1408,0.18417732704462575,0,2026-03-25,185
cfg_00077,usr_00083,DSU Campus,2026-03-19,0,OpenAI,gpt-5-mini,OpenAI Primary-3,1,1.25,10.0,500,0,0,1,1,115,dormant,0,,2026-03-19,0,43,851,2395335,1030224,13.2965,0.7757,0.426,0.2314,0.9179209259418596,6,2026-07-23,185
cfg_00078,usr_00084,DSU Campus,2026-03-24,0,OpenAI,gpt-4o,OpenAI Primary-7,1,1.25,10.0,25,1,0,1,1,246,dormant,0,,2026-03-24,0,5,118,369831,128017,1.7424,0.7865,0.4573,0.1846,0.23538007981243322,0,2026-03-31,180
cfg_00079,usr_00084,DSU Campus,2026-04-15,22,Anthropic,claude-opus-5,Anthropic Backup-4,0,3.0,15.0,500,0,0,1,1,254,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,158
cfg_00080,usr_00085,Outside Campus,2026-03-28,0,DeepSeek,deepseek-v4,DeepSeek Primary-1,1,0.3,1.2,100,0,0,1,1,170,dormant,0,,2026-03-30,2,26,709,2041833,1074521,1.902,0.7814,0.4216,0.1963,0.747914660879832,2,2026-05-18,176
cfg_00081,usr_00087,Outside Campus,2026-03-21,1,xAI (Grok),grok-4-mini,xAI Primary-4,1,2.5,12.0,50,1,0,1,1,104,active,0,,2026-03-21,0,35,698,1674437,849975,14.3858,0.7053,0.5054,0.2905,0.9306109942222693,3,2026-09-17,183
cfg_00082,usr_00088,Outside Campus,2026-03-28,5,Groq,llama-4-maverick,Groq Primary-9,1,0.5,0.9,50,1,0,1,1,115,active,0,,2026-03-28,0,45,998,2460412,1037044,2.1636,0.6984,0.4933,0.2061,0.5781078043691985,4,2026-08-22,176
cfg_00083,usr_00090,DSU Campus,2026-03-22,0,Anthropic,claude-sonnet-5,Anthropic Primary-3,1,3.0,15.0,250,1,0,1,1,66,active,0,,2026-03-26,4,46,852,2060931,911223,19.8511,0.8016,0.4096,0.208,0.7169215585279447,6,2026-09-20,182
cfg_00084,usr_00090,DSU Campus,2026-04-03,12,Together AI,deepseek-r2-distill,Together Backup-7,0,0.8,2.0,1000,0,0,1,1,206,active,0,,2026-03-26,,8,160,493212,157802,0.7101,0.7678,0.4195,0.1809,0.25709368640472574,2,2026-08-07,170
cfg_00085,usr_00092,Outside Campus,2026-03-25,1,Google AI (Gemini),gemini-3-flash,Google Primary-9,1,1.0,6.0,50,0,0,1,1,118,active,1,,2026-03-27,2,41,761,2964159,872203,8.1973,0.7613,0.4402,0.2028,0.961868799702106,2,2026-09-01,179
cfg_00086,usr_00092,Outside Campus,2026-05-04,41,OpenAI,gpt-4o,OpenAI Backup-3,0,1.25,10.0,250,1,0,2,1,89,active,0,,2026-03-27,,14,344,573020,394055,4.6568,0.789,0.3865,0.2626,0.8824259002605013,1,2026-08-24,139
cfg_00087,usr_00093,Outside Campus,2026-03-25,2,OpenAI,gpt-5,OpenAI Primary-6,1,1.25,10.0,500,0,0,1,1,215,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,179
cfg_00088,usr_00093,Outside Campus,2026-04-27,35,Groq,llama-4-maverick,Groq Backup-4,0,0.5,0.9,100,1,0,1,1,263,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,146
cfg_00089,usr_00095,Outside Campus,2026-03-31,0,Groq,qwen3-32b,Groq Primary-7,1,0.5,0.9,25,1,0,1,1,100,dormant,0,,2026-04-05,5,9,154,368405,162710,0.3307,0.8308,0.3745,0.1642,0.2516965271401511,0,2026-04-19,173
cfg_00090,usr_00096,DSU Campus,2026-03-26,2,Google AI (Gemini),gemini-3-pro,Google Primary-7,1,1.0,6.0,50,1,0,1,1,106,dormant,0,,2026-03-26,0,32,698,2246160,886124,7.5631,0.7407,0.4865,0.2061,0.5110535119470732,4,2026-08-12,178
cfg_00091,usr_00097,Outside Campus,2026-03-28,2,OpenAI,gpt-5,OpenAI Primary-1,1,1.25,10.0,50,0,0,1,1,190,dormant,0,,2026-03-30,2,27,595,1414577,730345,9.0715,0.8376,0.381,0.1784,0.5058682202099453,1,2026-06-28,176
cfg_00092,usr_00098,Outside Campus,2026-03-26,2,Cohere,command-r-plus-2,Cohere Primary-9,1,2.5,10.0,1000,1,0,1,1,124,dormant,1,,2026-03-26,0,22,592,1721284,823410,12.5372,0.7183,0.4711,0.2004,0.3275238156682737,2,2026-06-23,178
cfg_00093,usr_00101,DSU Campus,2026-03-25,0,Anthropic,claude-opus-5,Anthropic Primary-5,1,3.0,15.0,50,0,0,1,1,84,dormant,0,,2026-03-28,3,2,24,32963,15053,0.3246,0.7244,0.4866,0.1934,0.2282811942036761,0,2026-04-04,179
cfg_00094,usr_00102,Outside Campus,2026-04-01,7,OpenRouter,auto/router,OpenRouter Primary-5,1,0.6,2.4,1000,1,1,1,1,169,active,2,,,,0,0,0,0,0.0,0,0,0,0.0,0,,172
cfg_00095,usr_00103,Outside Campus,2026-04-02,0,OpenRouter,auto/router,OpenRouter Primary-3,1,0.6,2.4,250,1,0,1,1,273,dormant,0,,2026-04-02,0,18,566,1538832,686718,2.5714,0.7982,0.4252,0.1854,0.24716350874896018,4,2026-06-11,171
cfg_00096,usr_00104,Outside Campus,2026-03-27,1,OpenAI,gpt-5-mini,OpenAI Primary-6,1,1.25,10.0,50,1,0,1,1,211,dormant,0,,2026-03-28,1,2,13,36434,19033,0.2358,0.7503,0.432,0.5754,0.919448284441266,0,2026-04-07,177
cfg_00097,usr_00104,Outside Campus,2026-04-23,28,Groq,qwen3-32b,Groq Backup-3,0,0.5,0.9,1000,0,0,1,1,135,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,150
cfg_00098,usr_00105,DSU Campus,2026-03-28,0,Anthropic,claude-sonnet-5,Anthropic Primary-3,1,3.0,15.0,100,1,0,1,1,171,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,176
cfg_00099,usr_00105,DSU Campus,2026-04-16,19,Google AI (Gemini),gemini-3-pro,Google Backup-4,0,1.0,6.0,25,0,0,1,1,249,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,157
