visitor_id,first_visit_date,collection_location,acquisition_channel,utm_source,utm_medium,utm_campaign,landing_page,referrer_domain,device_category,device_os,browser,country,region,city,language,visit_count,is_returning_visitor,pageviews_total,pages_per_session,session_count,avg_session_duration_sec,total_time_on_site_sec,bounced_flag,viewed_pricing_flag,viewed_docs_flag,viewed_demo_flag,cta_getstarted_clicked,signed_up_flag,signup_user_id,days_to_signup,cohort_week
vis_000019,2026-03-01,Outside Campus,direct,(direct),none,none,/docs,(direct),desktop,Windows,Chrome,France,Ile-de-France,Paris,fr,1,0,3,3.0,1,390,390,0,0,0,1,0,0,,,2026-W09
vis_000020,2026-03-01,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/blog/zero-trust-llm-security,google.com,desktop,Windows,Chrome,Singapore,Central,Singapore,en-SG,1,0,6,6.0,1,38,38,0,0,0,0,0,0,,,2026-W09
vis_000021,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/cognitive-waste-index,t.co,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,4,4.0,1,125,125,0,0,0,0,0,0,,,2026-W09
vis_000022,2026-03-01,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/,google.com,mobile,Android,Chrome,Germany,Bavaria,Munich,de,1,0,1,1.0,1,40,40,0,0,0,0,0,0,,,2026-W09
vis_000023,2026-03-01,Outside Campus,newsletter,newsletter,email,beta_waitlist,/blog/zero-trust-llm-security,aiweekly.newsletter,desktop,Windows,Chrome,Canada,Ontario,Toronto,en-CA,6,1,6,1.0,6,107,642,0,0,0,0,0,0,,,2026-W09
vis_000024,2026-03-01,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/,google.com,desktop,Windows,Firefox,United States,California,San Francisco,en-US,1,0,4,4.0,1,108,108,0,0,1,0,0,0,,,2026-W09
vis_000025,2026-03-01,DSU Campus,referral,referral,referral,partner_aiweekly,/,google.com,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,35,35,0,0,0,0,0,0,,,2026-W09
vis_000026,2026-03-01,Outside Campus,direct,(direct),none,none,/blog/zero-trust-llm-security,(direct),desktop,macOS,Firefox,Singapore,Central,Singapore,en-SG,1,0,4,4.0,1,215,215,0,0,0,0,0,0,,,2026-W09
vis_000027,2026-03-01,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,mobile,Android,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,2,1.0,2,41,82,0,0,0,0,0,0,,,2026-W09
vis_000028,2026-03-01,Outside Campus,organic_search,organic_search,organic,none,/,google.com,mobile,Android,Chrome,United States,California,San Francisco,en-US,1,1,4,4.0,1,213,213,0,0,0,0,0,0,,,2026-W09
vis_000029,2026-03-01,Outside Campus,organic_search,organic_search,organic,none,/,google.com,desktop,macOS,Edge,United Kingdom,England,London,en-GB,1,0,3,3.0,1,410,410,0,1,0,0,0,0,,,2026-W09
vis_000030,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/zero-trust-llm-security,t.co,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,1,1.0,1,250,250,0,0,0,0,0,0,,,2026-W09
vis_000031,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/pricing,t.co,mobile,iOS,Chrome,United Kingdom,England,London,en-GB,1,0,3,3.0,1,245,245,0,0,0,0,0,0,,,2026-W09
vis_000032,2026-03-01,Outside Campus,newsletter,newsletter,email,beta_waitlist,/blog/zero-trust-llm-security,aiweekly.newsletter,desktop,Linux,Chrome,United States,California,San Francisco,en-US,4,1,4,1.0,4,55,220,0,0,0,0,0,0,,,2026-W09
vis_000033,2026-03-01,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/zero-trust-llm-security,linkedin.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,3,1,2,0.67,3,135,405,0,1,1,0,1,1,usr_00001,0,2026-W09
vis_000034,2026-03-01,DSU Campus,organic_search,organic_search,organic,none,/blog/cognitive-waste-index,google.com,desktop,Linux,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,122,122,0,0,1,0,0,0,,,2026-W09
vis_000035,2026-03-01,DSU Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/llm-observability-guide,linkedin.com,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,361,361,0,0,1,0,0,0,,,2026-W09
vis_000036,2026-03-01,Outside Campus,hackernews,hackernews,social,show_hn_launch,/pricing,news.ycombinator.com,desktop,Windows,Edge,Brazil,Sao Paulo,Sao Paulo,pt-BR,2,1,2,1.0,2,157,314,0,1,0,0,0,0,,,2026-W09
vis_000037,2026-03-01,Outside Campus,hackernews,hackernews,social,show_hn_launch,/blog/llm-observability-guide,news.ycombinator.com,desktop,macOS,Chrome,Spain,Catalonia,Barcelona,es,1,0,3,3.0,1,84,84,0,0,0,0,0,0,,,2026-W09
vis_000038,2026-03-01,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,2,2.0,1,1357,1357,0,0,0,0,1,1,usr_00002,0,2026-W09
vis_000039,2026-03-01,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/zero-trust-llm-security,linkedin.com,mobile,Android,Chrome,United States,California,San Francisco,en-US,1,0,1,1.0,1,33,33,1,0,0,0,0,0,,,2026-W09
vis_000040,2026-03-02,DSU Campus,direct,(direct),none,none,/pricing,(direct),desktop,macOS,Safari,India,Karnataka,Bengaluru,en-IN,1,0,1,1.0,1,69,69,0,0,0,0,0,0,,,2026-W10
vis_000041,2026-03-02,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/,google.com,desktop,Linux,Chrome,Canada,Ontario,Toronto,en-CA,1,0,2,2.0,1,152,152,0,1,0,0,0,0,,,2026-W10
vis_000042,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/cognitive-waste-index,linkedin.com,desktop,Linux,Firefox,United States,California,San Francisco,en-US,3,1,4,1.33,3,480,1440,0,0,0,0,0,0,,,2026-W10
vis_000043,2026-03-02,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,desktop,Windows,Safari,United States,California,San Francisco,en-US,1,0,4,4.0,1,567,567,0,0,0,0,0,0,,,2026-W10
vis_000044,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/docs,google.com,desktop,macOS,Firefox,United Kingdom,England,London,en-GB,1,0,4,4.0,1,296,296,0,0,0,0,0,0,,,2026-W10
vis_000045,2026-03-02,Outside Campus,newsletter,newsletter,email,beta_waitlist,/,aiweekly.newsletter,desktop,macOS,Safari,United States,California,San Francisco,en-US,1,0,1,1.0,1,954,954,1,0,0,0,0,0,,,2026-W10
vis_000046,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/,linkedin.com,mobile,iOS,Safari,United States,California,San Francisco,en-US,1,0,2,2.0,1,209,209,0,1,1,0,0,0,,,2026-W10
vis_000047,2026-03-02,DSU Campus,linkedin,linkedin,social,b2b_mlsops_q2,/docs,linkedin.com,mobile,Android,Safari,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,304,304,0,0,0,0,0,0,,,2026-W10
vis_000048,2026-03-02,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/features,google.com,desktop,Windows,Safari,Israel,Tel Aviv,Tel Aviv,he,1,0,3,3.0,1,245,245,0,0,1,0,0,0,,,2026-W10
vis_000049,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/zero-trust-llm-security,linkedin.com,mobile,Android,Firefox,Germany,Bavaria,Munich,de,1,0,3,3.0,1,280,280,0,1,1,0,0,0,,,2026-W10
vis_000050,2026-03-02,Outside Campus,direct,(direct),none,none,/blog/llm-observability-guide,(direct),desktop,macOS,Chrome,United States,California,San Francisco,en-US,1,0,5,5.0,1,72,72,0,0,0,0,0,0,,,2026-W10
vis_000051,2026-03-02,DSU Campus,hackernews,hackernews,social,show_hn_launch,/pricing,news.ycombinator.com,mobile,Android,Safari,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,686,686,0,0,1,1,0,0,,,2026-W10
vis_000052,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/features,google.com,desktop,Windows,Edge,United States,California,San Francisco,en-US,3,1,7,2.33,3,1335,4005,0,0,1,0,0,0,,,2026-W10
vis_000053,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/docs,google.com,desktop,Windows,Edge,United Kingdom,England,London,en-GB,1,0,2,2.0,1,343,343,0,0,0,0,1,1,usr_00003,0,2026-W10
vis_000054,2026-03-02,DSU Campus,organic_search,organic_search,organic,none,/,google.com,mobile,Android,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,2,1.0,2,245,490,0,1,1,0,1,1,usr_00004,0,2026-W10
vis_000055,2026-03-02,Outside Campus,referral,referral,referral,partner_aiweekly,/blog/zero-trust-llm-security,google.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,1,1.0,1,65,65,1,0,0,0,0,0,,,2026-W10
vis_000056,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/llm-observability-guide,linkedin.com,desktop,Windows,Firefox,South Korea,Seoul,Seoul,ko,4,1,2,0.5,4,203,812,0,0,0,0,0,0,,,2026-W10
vis_000057,2026-03-02,DSU Campus,referral,referral,referral,partner_aiweekly,/docs,google.com,mobile,Android,Safari,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,68,68,0,0,0,0,0,0,,,2026-W10
vis_000058,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/,linkedin.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,2,2.0,1,171,171,0,0,0,0,0,0,,,2026-W10
vis_000059,2026-03-02,Outside Campus,hackernews,hackernews,social,show_hn_launch,/,news.ycombinator.com,desktop,macOS,Chrome,United Kingdom,England,London,en-GB,1,1,5,5.0,1,953,953,0,0,1,0,0,0,,,2026-W10
vis_000060,2026-03-02,DSU Campus,referral,referral,referral,partner_aiweekly,/,google.com,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,3,1.5,2,191,382,0,0,1,0,0,0,,,2026-W10
vis_000061,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/features,google.com,mobile,iOS,Chrome,United States,California,San Francisco,en-US,1,0,3,3.0,1,182,182,0,1,0,0,0,0,,,2026-W10
vis_000062,2026-03-02,Outside Campus,hackernews,hackernews,social,show_hn_launch,/,news.ycombinator.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,2,1,3,1.5,2,333,666,0,0,0,1,1,1,usr_00005,0,2026-W10
vis_000063,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/features,google.com,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,3,1,4,1.33,3,200,600,0,0,0,1,0,0,,,2026-W10
vis_000064,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/blog/cognitive-waste-index,google.com,desktop,macOS,Chrome,United States,California,San Francisco,en-US,1,0,4,4.0,1,113,113,0,0,0,0,0,0,,,2026-W10
vis_000065,2026-03-02,Outside Campus,hackernews,hackernews,social,show_hn_launch,/blog/cognitive-waste-index,news.ycombinator.com,desktop,macOS,Firefox,Canada,Ontario,Toronto,en-CA,1,0,3,3.0,1,148,148,0,0,0,0,0,0,,,2026-W10
vis_000066,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/,google.com,mobile,Android,Firefox,United States,California,San Francisco,en-US,1,0,4,4.0,1,678,678,0,0,0,0,0,0,,,2026-W10
vis_000067,2026-03-02,Outside Campus,referral,referral,referral,partner_aiweekly,/,google.com,mobile,Android,Chrome,South Korea,Seoul,Seoul,ko,5,1,5,1.0,5,361,1805,0,0,0,0,0,0,,,2026-W10
vis_000068,2026-03-02,Outside Campus,hackernews,hackernews,social,show_hn_launch,/docs,news.ycombinator.com,desktop,macOS,Edge,United States,New York,New York,en-US,1,0,4,4.0,1,1037,1037,0,0,0,0,0,0,,,2026-W10
vis_000069,2026-03-02,DSU Campus,direct,(direct),none,none,/,(direct),mobile,Android,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,3,1.5,2,224,448,0,0,0,0,0,0,,,2026-W10
vis_000070,2026-03-02,DSU Campus,referral,referral,referral,partner_aiweekly,/blog/cognitive-waste-index,google.com,mobile,iOS,Safari,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,157,157,0,0,0,0,0,0,,,2026-W10
vis_000071,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/blog/zero-trust-llm-security,google.com,desktop,macOS,Chrome,United Kingdom,England,London,en-GB,1,0,3,3.0,1,54,54,0,0,1,0,0,0,,,2026-W10
vis_000072,2026-03-02,Outside Campus,direct,(direct),none,none,/,(direct),mobile,iOS,Firefox,United States,California,San Francisco,en-US,1,0,3,3.0,1,139,139,0,1,0,0,0,0,,,2026-W10
vis_000073,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/,google.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,5,5.0,1,159,159,0,0,0,0,0,0,,,2026-W10
vis_000074,2026-03-02,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,132,132,0,1,0,0,0,0,,,2026-W10
vis_000075,2026-03-02,Outside Campus,direct,(direct),none,none,/,(direct),mobile,iOS,Safari,United Kingdom,England,London,en-GB,2,1,3,1.5,2,140,280,0,1,0,1,0,0,,,2026-W10
vis_000076,2026-03-02,DSU Campus,hackernews,hackernews,social,show_hn_launch,/pricing,news.ycombinator.com,mobile,Android,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,4,4.0,1,490,490,0,1,1,0,1,1,usr_00006,1,2026-W10
vis_000077,2026-03-02,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/blog/cognitive-waste-index,google.com,desktop,Windows,Safari,United States,California,San Francisco,en-US,1,0,4,4.0,1,35,35,0,0,0,0,0,0,,,2026-W10
vis_000078,2026-03-02,Outside Campus,referral,referral,referral,partner_aiweekly,/blog/cognitive-waste-index,google.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,0,2,2.0,1,51,51,0,1,0,0,0,0,,,2026-W10
vis_000079,2026-03-02,DSU Campus,newsletter,newsletter,email,beta_waitlist,/blog/cognitive-waste-index,aiweekly.newsletter,desktop,Windows,Edge,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,179,179,0,0,0,0,0,0,,,2026-W10
vis_000080,2026-03-02,DSU Campus,organic_search,organic_search,organic,none,/blog/cognitive-waste-index,google.com,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,5,5.0,1,340,340,0,0,0,0,0,0,,,2026-W10
vis_000081,2026-03-02,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/,google.com,desktop,Windows,Safari,France,Ile-de-France,Paris,fr,1,0,4,4.0,1,458,458,0,1,1,1,0,0,,,2026-W10
vis_000082,2026-03-02,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/blog/cognitive-waste-index,t.co,desktop,macOS,Chrome,United States,California,San Francisco,en-US,3,1,3,1.0,3,361,1083,0,0,0,1,0,0,,,2026-W10
vis_000083,2026-03-02,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/pricing,t.co,desktop,macOS,Chrome,Australia,New South Wales,Sydney,en-AU,1,0,2,2.0,1,133,133,0,1,0,0,0,0,,,2026-W10
vis_000084,2026-03-02,Outside Campus,organic_search,organic_search,organic,none,/,google.com,desktop,Windows,Chrome,United Kingdom,England,London,en-GB,1,0,2,2.0,1,308,308,0,0,0,0,1,0,,,2026-W10
vis_000085,2026-03-02,Outside Campus,referral,referral,referral,partner_aiweekly,/docs,google.com,desktop,macOS,Chrome,United States,California,San Francisco,en-US,4,1,3,0.75,4,140,560,0,1,0,0,0,0,,,2026-W10
vis_000086,2026-03-02,Outside Campus,newsletter,newsletter,email,beta_waitlist,/docs,aiweekly.newsletter,tablet,Android,Chrome,United States,California,San Francisco,en-US,1,0,3,3.0,1,73,73,0,0,0,0,0,0,,,2026-W10
vis_000087,2026-03-02,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/cognitive-waste-index,linkedin.com,desktop,Windows,Edge,United States,California,San Francisco,en-US,1,0,2,2.0,1,94,94,0,1,0,0,0,0,,,2026-W10
vis_000088,2026-03-02,DSU Campus,organic_search,organic_search,organic,none,/,google.com,desktop,Windows,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,26,26,0,0,1,0,0,0,,,2026-W10
vis_000089,2026-03-02,DSU Campus,organic_search,organic_search,organic,none,/blog/zero-trust-llm-security,google.com,desktop,macOS,Edge,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,109,109,0,1,0,0,0,0,,,2026-W10
vis_000090,2026-03-02,DSU Campus,newsletter,newsletter,email,beta_waitlist,/,aiweekly.newsletter,desktop,macOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,4,4.0,1,268,268,0,1,1,1,0,0,,,2026-W10
vis_000091,2026-03-02,Outside Campus,direct,(direct),none,none,/blog/zero-trust-llm-security,(direct),desktop,Windows,Chrome,Israel,Tel Aviv,Tel Aviv,he,3,1,4,1.33,3,324,972,0,1,0,0,0,0,,,2026-W10
vis_000092,2026-03-02,Outside Campus,paid_search,paid_search,cpc,brand_llm_monitoring,/blog/cognitive-waste-index,google.com,mobile,iOS,Chrome,Brazil,Sao Paulo,Sao Paulo,pt-BR,3,1,2,0.67,3,337,1011,0,0,0,0,0,0,,,2026-W10
vis_000093,2026-03-03,DSU Campus,hackernews,hackernews,social,show_hn_launch,/,news.ycombinator.com,desktop,Windows,Edge,India,Karnataka,Bengaluru,en-IN,2,1,2,1.0,2,86,172,0,0,0,0,0,0,,,2026-W10
vis_000094,2026-03-03,DSU Campus,direct,(direct),none,none,/blog/llm-observability-guide,(direct),mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,4,2.0,2,344,688,0,1,0,0,0,0,,,2026-W10
vis_000095,2026-03-03,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,desktop,Linux,Edge,United States,California,San Francisco,en-US,4,1,3,0.75,4,241,964,0,0,0,1,0,0,,,2026-W10
vis_000096,2026-03-03,Outside Campus,organic_search,organic_search,organic,none,/,google.com,mobile,Android,Chrome,France,Ile-de-France,Paris,fr,1,0,2,2.0,1,58,58,0,0,1,0,0,0,,,2026-W10
vis_000097,2026-03-03,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/features,t.co,desktop,Windows,Chrome,United States,California,San Francisco,en-US,1,1,5,5.0,1,756,756,0,1,0,0,0,0,,,2026-W10
vis_000098,2026-03-03,DSU Campus,social_twitter,social_twitter,social,llm_observability_buzz,/pricing,t.co,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,3,3.0,1,52,52,0,0,1,0,0,0,,,2026-W10
vis_000099,2026-03-03,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/,linkedin.com,mobile,Android,Chrome,United States,New York,New York,en-US,1,0,4,4.0,1,791,791,0,0,0,0,0,0,,,2026-W10
vis_000100,2026-03-03,DSU Campus,hackernews,hackernews,social,show_hn_launch,/blog/cognitive-waste-index,news.ycombinator.com,mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,2,2.0,1,43,43,0,1,0,0,0,0,,,2026-W10
vis_000101,2026-03-03,Outside Campus,hackernews,hackernews,social,show_hn_launch,/docs,news.ycombinator.com,desktop,Windows,Chrome,United States,California,San Francisco,en-US,2,1,4,2.0,2,210,420,0,1,1,0,0,0,,,2026-W10
vis_000102,2026-03-03,Outside Campus,direct,(direct),none,none,/pricing,(direct),mobile,Android,Chrome,Singapore,Central,Singapore,en-SG,1,0,4,4.0,1,252,252,0,0,1,1,1,1,usr_00007,3,2026-W10
vis_000103,2026-03-03,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/,linkedin.com,desktop,Windows,Chrome,United States,New York,New York,en-US,1,1,3,3.0,1,337,337,0,0,0,0,1,1,usr_00008,3,2026-W10
vis_000104,2026-03-03,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/zero-trust-llm-security,linkedin.com,mobile,iOS,Chrome,United States,California,San Francisco,en-US,1,0,3,3.0,1,808,808,0,0,0,0,0,0,,,2026-W10
vis_000105,2026-03-03,DSU Campus,direct,(direct),none,none,/blog/cognitive-waste-index,(direct),desktop,macOS,Edge,India,Karnataka,Bengaluru,en-IN,1,0,5,5.0,1,918,918,0,0,0,1,0,0,,,2026-W10
vis_000106,2026-03-03,DSU Campus,direct,(direct),none,none,/blog/llm-observability-guide,(direct),mobile,iOS,Chrome,India,Karnataka,Bengaluru,en-IN,2,1,3,1.5,2,133,266,0,0,0,0,0,0,,,2026-W10
vis_000107,2026-03-03,Outside Campus,hackernews,hackernews,social,show_hn_launch,/blog/llm-observability-guide,news.ycombinator.com,mobile,Android,Safari,United States,California,San Francisco,en-US,1,0,5,5.0,1,255,255,0,0,1,0,0,0,,,2026-W10
vis_000108,2026-03-03,Outside Campus,linkedin,linkedin,social,b2b_mlsops_q2,/blog/llm-observability-guide,linkedin.com,desktop,Windows,Firefox,United States,New York,New York,en-US,1,0,4,4.0,1,165,165,0,0,0,1,0,0,,,2026-W10
vis_000109,2026-03-03,DSU Campus,direct,(direct),none,none,/,(direct),desktop,Windows,Chrome,India,Karnataka,Bengaluru,en-IN,1,0,4,4.0,1,840,840,0,0,0,0,0,0,,,2026-W10
vis_000110,2026-03-03,Outside Campus,hackernews,hackernews,social,show_hn_launch,/,news.ycombinator.com,desktop,macOS,Chrome,United States,California,San Francisco,en-US,1,0,5,5.0,1,270,270,0,0,0,0,0,0,,,2026-W10
vis_000111,2026-03-03,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/,t.co,desktop,Windows,Chrome,Brazil,Sao Paulo,Sao Paulo,pt-BR,1,0,4,4.0,1,867,867,0,1,0,0,0,0,,,2026-W10
vis_000112,2026-03-03,Outside Campus,social_twitter,social_twitter,social,llm_observability_buzz,/docs,t.co,desktop,macOS,Chrome,South Korea,Seoul,Seoul,ko,1,0,4,4.0,1,147,147,0,1,1,0,0,0,,,2026-W10
vis_000113,2026-03-03,Outside Campus,newsletter,newsletter,email,beta_waitlist,/blog/llm-observability-guide,aiweekly.newsletter,desktop,Windows,Chrome,United Kingdom,England,London,en-GB,1,0,3,3.0,1,728,728,0,1,0,0,0,0,,,2026-W10
vis_000114,2026-03-03,Outside Campus,direct,(direct),none,none,/blog/llm-observability-guide,(direct),desktop,macOS,Firefox,United Kingdom,England,London,en-GB,1,0,5,5.0,1,476,476,0,1,1,1,0,0,,,2026-W10
